model,group_id,n,mae,rmse,r2,negative_predictions
Physics+CatBoost,CMP-training-058.csv,5,3.7885649146752582,3.8662342253091797,-1.7944246752628374,0
Physics+CatBoost,CMP-training-059.csv,1,1.2017803362278556,1.2017803362278556,,0
Physics+CatBoost,CMP-training-063.csv,1,4.611621225570076,4.611621225570076,,0
Physics+CatBoost,CMP-training-067.csv,2,6.8329724985795295,7.067756972687769,-308.45492286310144,0
Physics+CatBoost,CMP-training-071.csv,3,7.964659775445099,8.107161261588972,-126.3229487235044,0
Physics+CatBoost,CMP-training-072.csv,58,2.7243772844271925,3.467165861369084,0.20705371618878832,0
Physics+CatBoost,CMP-training-087.csv,61,3.9367780210655634,5.0823602057775705,-0.0501295965575379,0
Physics+CatBoost,CMP-training-099.csv,3,3.815638230491274,4.140133831788829,-5.041992742608975,0
Physics+CatBoost,CMP-training-101.csv,64,4.978670829740924,6.206541757890522,-1.1580347712818186,0
Physics+CatBoost,CMP-training-115.csv,7,7.3705695072249835,8.039156887054286,-2.896921128573107,0
Physics+CatBoost,CMP-training-118.csv,4,5.577821882789628,5.7270128159869875,-9.700583217838572,0
Physics+CatBoost,CMP-training-130.csv,4,6.096581290888089,6.365763734845894,-2.8207884708737057,0
Physics+CatBoost,CMP-training-134.csv,85,6.210167597209742,7.182771760699775,-0.9778880417483666,0
Physics+CatBoost,CMP-training-137.csv,62,4.119756801730873,5.147082092263304,-0.30968760765709447,0
Physics+CatBoost,CMP-training-145.csv,11,10.528714324444094,11.041204398621225,-5.254609264952274,0
Physics+CatBoost,CMP-training-166.csv,3,4.0257302190404785,4.500692452709708,-10.33271890696089,0
Physics+CatBoost,CMP-training-167.csv,6,8.91080072911983,9.40935417822287,-6.313080159035104,0
Physics+CatBoost,CMP-training-169.csv,3,2.88267894911967,3.515280381527831,-6.419961229924583,0
Physics+CatBoost,CMP-training-171.csv,9,3.077685311667556,3.496452059890823,-0.9507675645192324,0
Physics+CatBoost,CMP-training-172.csv,43,3.0644711652934795,4.219297752609403,-0.21531536118920624,0
Physics+CatBoost,CMP-training-182.csv,3,4.0520951149931035,5.286904356195599,-5.653804207530955,0
Physics+LightGBM,CMP-training-014.csv,22,6.700008085505282,8.29518389233963,0.2934177728812648,0
Physics+LightGBM,CMP-training-018.csv,1,16.56035484861242,16.56035484861242,,0
Physics+LightGBM,CMP-training-029.csv,5,7.953432727409853,8.14306808056923,-61.72426348928367,0
Physics+LightGBM,CMP-training-044.csv,1,8.667192924514119,8.667192924514119,,0
Physics+LightGBM,CMP-training-045.csv,3,5.65294678548166,6.152815669634974,-29.68367948633813,0
Physics+LightGBM,CMP-training-047.csv,3,1.6359189026805367,1.7852192908446929,-0.776335971485203,0
Physics+LightGBM,CMP-training-049.csv,3,8.619163914872187,8.818232829484906,-14.765917954170588,0
Physics+LightGBM,CMP-training-051.csv,4,4.346762897585904,4.672460604045937,0.6255216756850284,0
