cohort,stage,model,primary,slice,n,mae,rmse,r2,negative_predictions,coverage_90,mean_interval_width
test,A,GlobalMean,False,group_id=test/CMP-test-047.csv,1,42.34919060118545,42.34919060118545,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-048.csv,2,46.40639060118544,46.406749650587386,-64623.7130960864,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-050.csv,1,45.243159398814555,45.243159398814555,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-052.csv,1,40.37684060118545,40.37684060118545,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-057.csv,2,43.76213439881455,43.856076257350395,-232.67164665376023,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-059.csv,1,44.58449060118544,44.58449060118544,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-061.csv,1,40.92075939881457,40.92075939881457,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-062.csv,1,38.551340601185444,38.551340601185444,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-063.csv,1,44.141109398814564,44.141109398814564,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-068.csv,2,47.047734398814555,47.05979532416204,-1950.1697984899579,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-071.csv,1,39.437090601185446,39.437090601185446,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-080.csv,4,42.13425469940728,42.438337551414605,-0.5619588282390215,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-085.csv,4,38.5789875,39.60504002760168,-0.052844095706926275,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-086.csv,3,40.16699686706181,40.81106440828533,-0.026706576017764272,0,0.6666666666666666,96.3122812023709
test,A,GlobalMean,False,group_id=test/CMP-test-087.csv,1,33.36284060118544,33.36284060118544,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-090.csv,1,35.01599060118545,35.01599060118545,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-092.csv,1,25.303940601185445,25.303940601185445,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-099.csv,2,29.146265601185448,29.237005768383177,-160.35327535294732,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-105.csv,1,30.22964060118545,30.22964060118545,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-109.csv,2,42.24713439881455,42.25390745229517,-3118.51576725612,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-112.csv,1,45.15120939881456,45.15120939881456,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-115.csv,5,45.25491939881455,45.28341017193385,-793.9531564410944,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-116.csv,1,44.99340939881455,44.99340939881455,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-119.csv,1,30.31829060118544,30.31829060118544,,0,1.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-120.csv,3,45.58055313293818,46.78422459797685,-0.40410580835833865,0,0.3333333333333333,96.3122812023709
test,A,GlobalMean,False,group_id=test/CMP-test-126.csv,1,56.25540939881455,56.25540939881455,,0,0.0,96.31228120237088
test,A,GlobalMean,False,group_id=test/CMP-test-128.csv,3,30.004090601185442,30.77160162047378,-19.2995153400116,0,1.0,96.3122812023709
test,A,GlobalMean,False,group_id=test/CMP-test-134.csv,1,25.52879060118545,25.52879060118545,,0,1.0,96.31228120237088
