sample_id,partition,policy,model,clipped
b721ed3f409740b15845,test,completed,base_direct,False
2d55d45f9a0383a8f06a,test,completed,base_direct,False
3d73609d01eeeb300789,test,completed,base_direct,False
1418b8e6a21e1498ee15,test,completed,base_direct,False
18f2e9090491c66ffc3d,test,completed,base_direct,False
b8a460a3ed3364ac5d36,test,completed,base_direct,False
5e9ebb235101bb733c2c,test,completed,base_direct,False
c20ad86a5f2d24f8791a,test,completed,base_direct,False
92395baceacea8151558,test,completed,base_direct,False
799ae9f853bad8571fa4,test,completed,base_direct,False
d9e64853647ef6faa58a,test,completed,base_direct,False
67ca09e28c7a05334d90,test,completed,base_direct,False
4f1e61c084da79b28a0b,test,completed,base_direct,False
c2f26a8e6540db9ed7fd,test,completed,base_direct,False
ef0a3f797b223ac09cbf,test,completed,base_direct,False
