track,split,model,repeat,n,mse,rmse,mae,r2,relative_error,mape_percent,s_score_literal_mean,s_score_minus_one_mean
grouped,validation,P1_CART_Stack,5,297,57.39960826925967,7.576252917455942,5.107162156685906,0.9477457741415731,0.060984511774896805,6.098451177489681,2.217217477089441,1.2172174770894408
grouped,validation,P1_CART_Stack,6,297,58.68979286692743,7.660926371329216,5.030422331048583,0.9465712435237099,0.05934620279042881,5.934620279042881,3.794371955629132,2.794371955629132
grouped,validation,P1_CART_Stack,7,297,51.86292628759826,7.201591927317061,5.195611924402758,0.9527861400865609,0.06081327969571408,6.081327969571408,1.8232478941052546,0.8232478941052546
grouped,validation,P1_CART_Stack,8,297,61.50960827533201,7.842806148014371,5.246247059283309,0.9440042003735434,0.06133699086979784,6.133699086979784,2.35141576657725,1.3514157665772497
grouped,validation,P1_CART_Stack,9,297,58.85331231182921,7.671591250309756,5.297556288279623,0.9464223821940985,0.06150323810828062,6.150323810828063,1.9676569472896825,0.9676569472896827
grouped,validation,P1_CART_Stack,10,297,41.44620401375817,6.437872631060525,5.242326887526056,0.9622690925807377,0.0635575882248649,6.35575882248649,1.710608084511972,0.7106080845119719
grouped,validation,P1_CART_Stack,11,297,68.82567785625272,8.296124267165526,5.389642804633636,0.9373439536609864,0.062091054252118354,6.209105425211836,2.3162616196652928,1.3162616196652925
grouped,validation,P1_CART_Stack,12,297,40.61462287694887,6.372960291493182,5.04143196588905,0.9630261296033356,0.061387901170367194,6.138790117036719,1.722159496623549,0.7221594966235492
grouped,validation,P1_CART_Stack,13,297,56.433863751849835,7.512247583236979,5.309795945566778,0.94862494794878,0.06297757573911436,6.297757573911436,1.9625661666885166,0.9625661666885166
grouped,validation,P1_CART_Stack,14,297,41.1392790775849,6.413990885368087,4.762123164582332,0.9625485043297021,0.05689093376231208,5.689093376231208,1.7675785580478867,0.7675785580478867
grouped,validation,P1_CART_Stack,15,297,43.89088257517778,6.625019439607538,5.040058283429533,0.9600435584777796,0.0602465425648589,6.02465425648589,1.725411997868683,0.725411997868683
grouped,validation,P1_CART_Stack,16,297,50.426523213722824,7.101163511265096,5.06276113035113,0.954093781948748,0.06024634084111409,6.024634084111409,1.9070091376224725,0.9070091376224725
grouped,validation,P1_CART_Stack,17,297,39.95861594284488,6.321282776687409,4.985365389409974,0.9636233311441293,0.06101616793246305,6.101616793246305,1.7036283519486304,0.7036283519486304
grouped,validation,P1_CART_Stack,18,297,36.29642111333624,6.024651119636409,4.94509608746192,0.9669572416276473,0.060659075552265275,6.065907555226527,1.6649846863364577,0.6649846863364578
grouped,validation,P1_CART_Stack,19,297,40.136000910543125,6.335298012764919,4.963654581529583,0.9634618472168782,0.05967593879694119,5.967593879694119,1.6921851004651818,0.6921851004651819
grouped,validation,P1_ELM_Stack,0,297,172.33325609245384,13.127576169744888,6.343759636183389,0.8431149417513376,0.06742370083117832,6.742370083117832,17.503611106870967,16.503611106870967
grouped,validation,P1_ELM_Stack,1,297,676.2999798062353,26.005768202578352,6.585433686313675,0.38432451094321063,0.0670884005682748,6.708840056827479,907295919413373.0,907295919413371.9
grouped,validation,P1_ELM_Stack,2,297,105.31614041375029,10.262365244608588,5.45731590211072,0.9041245479951271,0.059934098302320375,5.9934098302320375,8.172085463755726,7.172085463755726
grouped,validation,P1_ELM_Stack,3,297,1652.20341789692,40.647305173860175,8.73195343267261,-0.5040975568658541,0.08079745086555928,8.079745086555928,4349295658176097.5,4349295658176096.5
grouped,validation,P1_ELM_Stack,4,297,524.6220095512028,22.90462856173841,6.451628732661151,0.522405852513949,0.06575215094741019,6.575215094741019,562448802.2629203,562448801.2629203
grouped,validation,P1_ELM_Stack,5,297,255.14400262208724,15.973227683285781,6.069518826948548,0.7677274681580406,0.06376806615696026,6.376806615696026,135814.32740138518,135813.32740138518
grouped,validation,P1_ELM_Stack,6,297,87.12193786085865,9.333913319763509,5.381941488950584,0.9206877963896624,0.060591487262161015,6.059148726216101,3.4139951011961784,2.4139951011961784
grouped,validation,P1_ELM_Stack,7,297,3208.053872431297,56.63968460744901,10.212838196405563,-1.9204793668566298,0.0904520663724614,9.04520663724614,1.9362105024123785e+34,1.9362105024123785e+34
grouped,validation,P1_ELM_Stack,8,297,592.7186584911092,24.345813982923413,7.108626551577603,0.46041348390376924,0.07175939234470646,7.175939234470646,154182052.6193853,154182051.6193853
grouped,validation,P1_ELM_Stack,9,297,109.44728851133456,10.461705812693003,5.413426549033701,0.9003637218805456,0.05998868356719039,5.998868356719039,268.7480501313043,267.7480501313043
grouped,validation,P1_ELM_Stack,10,297,831.567952925698,28.83691996253584,6.854490695553914,0.2429749794637477,0.06844902459480888,6.844902459480888,2.893577730256805e+16,2.893577730256805e+16
grouped,validation,P1_ELM_Stack,11,297,544.6851540115309,23.33849082549107,6.812228743753221,0.5041411968190479,0.06783456759163409,6.783456759163409,59955160251.155014,59955160250.155014
