evaluation,policy,model,dimension,value,n,mse,rmse,mae,r2
validation,retrospective,control,cold_history,False,424,7.611467318975251,2.758888783364645,2.0756278081928756,0.9907484203031461
validation,retrospective,control,missing_physical_feature,False,424,7.611467318975251,2.758888783364645,2.0756278081928756,0.9907484203031461
validation,retrospective,features,cold_history,False,424,7.498230882604356,2.738289773308215,2.0553561557964857,0.9908860568286373
validation,retrospective,features,missing_physical_feature,False,424,7.498230882604356,2.738289773308215,2.0553561557964857,0.9908860568286373
validation,retrospective,incumbent_refit,cold_history,False,424,6.827695951448246,2.6129860220537435,1.971862517291606,0.9917010780453284
validation,retrospective,incumbent_refit,missing_physical_feature,False,424,6.827695951448246,2.6129860220537435,1.971862517291606,0.9917010780453284
validation,retrospective,proposed,cold_history,False,424,7.978812212560368,2.82467913444348,2.11619772807872,0.9903019202504214
validation,retrospective,proposed,missing_physical_feature,False,424,7.978812212560368,2.82467913444348,2.11619772807872,0.9903019202504214
validation,retrospective,tuned,cold_history,False,424,7.528461286384051,2.743804163271142,2.0569957624604873,0.9908493124036644
validation,retrospective,tuned,missing_physical_feature,False,424,7.528461286384051,2.743804163271142,2.0569957624604873,0.9908493124036644
